,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3
70,"Yeah, that's it!",Bot_Control_Approve_Response,Bot_Control_Approve_Response,0.9857584476470949,Bot_Control_Ignore_Undo,0.30391175746917726,General_Greetings,0.293892240524292
71,Are you a human or a bot?,General_Human_or_Bot,General_Human_or_Bot,0.9938555717468263,General_About_You,0.27022271752357485,pizza,0.23521607518196108
72,Am I talking to Watson?,General_Human_or_Bot,General_Human_or_Bot,0.4727564573287964,General_Ending,0.4059760093688965,Bot_Control_Approve_Response,0.2540180623531342
73,How can you prove you are a human?,General_Human_or_Bot,General_Human_or_Bot,0.8361252784729005,General_Positive_Feedback,0.5368820190429688,General_Agent_Capabilities,0.42457070350646975
74,It is not what I want,Bot_Control_Reject_Response,Bot_Control_Reject_Response,0.6822864055633545,Bot_Control_Ignore_Undo,0.4300966501235962,Bot_Control_Unsure,0.24096367359161378
75,Bad response,Bot_Control_Reject_Response,General_Greetings,0.6396790027618409,Bot_Control_Reject_Response,0.6025384426116944,General_Negative_Feedback,0.2539181470870972
76,Wrong response,Bot_Control_Reject_Response,Bot_Control_Reject_Response,0.9188711643218994,General_Negative_Feedback,0.27725054621696477,Bot_Control_Ignore_Undo,0.24999297857284547
77,I wasn't looking for that,Bot_Control_Reject_Response,Bot_Control_Reject_Response,0.9765841960906982,Bot_Control_Unsure,0.23994403183460236,General_Ending,0.2330578863620758
78,How r u?,General_Greetings,General_Greetings,0.5178152561187744,Bot_Control_Approve_Response,0.30286952257156374,General_About_You,0.27128335237503054
79,Hello I am looking for some help here,General_Greetings,General_Greetings,0.5501198291778564,help,0.3859866619110108,Bot_Control_Reject_Response,0.33695987462997434
80,Hey there,General_Greetings,General_Greetings,0.9908824920654298,Bot_Control_Confirm_Presence,0.2439918100833893,Bot_Control_Change_Subject,0.22633525729179382
81,Hi there,General_Greetings,General_Greetings,0.980056667327881,Bot_Control_Confirm_Presence,0.27509328722953796,General_Agent_Capabilities,0.2590485215187073
82,How is it going?,General_Greetings,General_Greetings,0.6457952499389649,General_Ending,0.5174472808837891,Bot_Control_Approve_Response,0.2734263122081757
83,Who is this?,General_Greetings,General_About_You,0.45063171386718753,location,0.3505750894546509,Bot_Control_Change_Subject,0.33973318338394165
84,Is this conversation secure?,General_Security_Assurance,General_Security_Assurance,0.9802356243133545,General_Positive_Feedback,0.304181981086731,Bot_Control_Change_Subject,0.2525660574436188
85,Is this a trusted chat site?,General_Security_Assurance,General_Security_Assurance,0.8723777294158936,General_Human_or_Bot,0.33998210430145265,Bot_Control_Change_Subject,0.26608917713165287
86,Protection hacks?,General_Security_Assurance,General_Security_Assurance,0.8695672988891603,Bot_Control_Standby,0.3126608490943909,General_Ending,0.2974509656429291
87,Will my conversation remain secured?,General_Security_Assurance,General_Security_Assurance,0.9305303573608399,General_About_You,0.2856062710285187,Bot_Control_Start_Over,0.250660640001297
88,Conversation secure?,General_Security_Assurance,General_Security_Assurance,0.9652005195617677,General_Connect_to_Agent,0.273918879032135,General_About_You,0.25172659754753113
89,Why would I trust this chat?,General_Security_Assurance,General_Security_Assurance,0.6839155673980712,General_About_You,0.5182377815246582,General_Negative_Feedback,0.2584170162677765
90,Start over,Bot_Control_Start_Over,Bot_Control_Start_Over,0.9601493358612061,Bot_Control_Standby,0.25151311159133916,Bot_Control_Change_Subject,0.24223611652851107
91,Begin over!,Bot_Control_Start_Over,Bot_Control_Start_Over,0.7499157905578613,General_Ending,0.31898049116134647,Bot_Control_Standby,0.258068984746933
92,Let us reopen this again.,Bot_Control_Start_Over,Bot_Control_Ignore_Undo,0.5267967700958252,Bot_Control_Start_Over,0.3042922854423523,Bot_Control_Standby,0.2987708866596222
93,We need a do-over,Bot_Control_Start_Over,Bot_Control_Standby,0.3406773686408997,Bot_Control_Approve_Response,0.2782520353794098,Bot_Control_Reject_Response,0.2644073843955994
